measure,quantile,time,sex,age,value,ethnic
lx,97.50%,2022-2024,Female,1,99618,NZ total
lx,97.50%,2022-2024,Female,2,99600,NZ total
lx,97.50%,2022-2024,Female,3,99586,NZ total
lx,97.50%,2022-2024,Female,4,99575,NZ total
lx,97.50%,2022-2024,Female,5,99566,NZ total
lx,97.50%,2022-2024,Female,6,99559,NZ total
lx,97.50%,2022-2024,Female,7,99552,NZ total
lx,97.50%,2022-2024,Female,8,99546,NZ total
lx,97.50%,2022-2024,Female,9,99540,NZ total
lx,97.50%,2022-2024,Female,10,99534,NZ total
lx,97.50%,2022-2024,Female,11,99528,NZ total
lx,97.50%,2022-2024,Female,12,99520,NZ total
lx,97.50%,2022-2024,Female,13,99512,NZ total
lx,97.50%,2022-2024,Female,14,99502,NZ total
lx,97.50%,2022-2024,Female,15,99489,NZ total
lx,97.50%,2022-2024,Female,16,99473,NZ total
lx,97.50%,2022-2024,Female,17,99453,NZ total
lx,97.50%,2022-2024,Female,18,99428,NZ total
lx,97.50%,2022-2024,Female,19,99398,NZ total
lx,97.50%,2022-2024,Female,20,99365,NZ total
lx,97.50%,2022-2024,Female,21,99329,NZ total
lx,97.50%,2022-2024,Female,22,99293,NZ total
lx,97.50%,2022-2024,Female,23,99255,NZ total
lx,97.50%,2022-2024,Female,24,99216,NZ total
lx,97.50%,2022-2024,Female,25,99176,NZ total
lx,97.50%,2022-2024,Female,26,99136,NZ total
lx,97.50%,2022-2024,Female,27,99095,NZ total
lx,97.50%,2022-2024,Female,28,99056,NZ total
lx,97.50%,2022-2024,Female,29,99017,NZ total
lx,97.50%,2022-2024,Female,30,98977,NZ total
lx,97.50%,2022-2024,Female,31,98938,NZ total
lx,97.50%,2022-2024,Female,32,98898,NZ total
lx,97.50%,2022-2024,Female,33,98855,NZ total
lx,97.50%,2022-2024,Female,34,98811,NZ total
lx,97.50%,2022-2024,Female,35,98764,NZ total
lx,97.50%,2022-2024,Female,36,98715,NZ total
lx,97.50%,2022-2024,Female,37,98663,NZ total
lx,97.50%,2022-2024,Female,38,98607,NZ total
lx,97.50%,2022-2024,Female,39,98547,NZ total
lx,97.50%,2022-2024,Female,40,98481,NZ total
lx,97.50%,2022-2024,Female,41,98409,NZ total
lx,97.50%,2022-2024,Female,42,98327,NZ total
lx,97.50%,2022-2024,Female,43,98233,NZ total
lx,97.50%,2022-2024,Female,44,98128,NZ total
lx,97.50%,2022-2024,Female,45,98012,NZ total
lx,97.50%,2022-2024,Female,46,97888,NZ total
lx,97.50%,2022-2024,Female,47,97756,NZ total
lx,97.50%,2022-2024,Female,48,97610,NZ total
lx,97.50%,2022-2024,Female,49,97451,NZ total
lx,97.50%,2022-2024,Female,50,97276,NZ total
lx,97.50%,2022-2024,Female,51,97083,NZ total
lx,97.50%,2022-2024,Female,52,96876,NZ total
lx,97.50%,2022-2024,Female,53,96647,NZ total
lx,97.50%,2022-2024,Female,54,96397,NZ total
lx,97.50%,2022-2024,Female,55,96129,NZ total
lx,97.50%,2022-2024,Female,56,95840,NZ total
lx,97.50%,2022-2024,Female,57,95521,NZ total
lx,97.50%,2022-2024,Female,58,95178,NZ total
lx,97.50%,2022-2024,Female,59,94806,NZ total
lx,97.50%,2022-2024,Female,60,94399,NZ total
lx,97.50%,2022-2024,Female,61,93963,NZ total
lx,97.50%,2022-2024,Female,62,93486,NZ total
lx,97.50%,2022-2024,Female,63,92968,NZ total
lx,97.50%,2022-2024,Female,64,92401,NZ total
lx,97.50%,2022-2024,Female,65,91795,NZ total
lx,97.50%,2022-2024,Female,66,91140,NZ total
lx,97.50%,2022-2024,Female,67,90431,NZ total
lx,97.50%,2022-2024,Female,68,89667,NZ total
lx,97.50%,2022-2024,Female,69,88843,NZ total
lx,97.50%,2022-2024,Female,70,87955,NZ total
lx,97.50%,2022-2024,Female,71,86993,NZ total
lx,97.50%,2022-2024,Female,72,85948,NZ total
lx,97.50%,2022-2024,Female,73,84809,NZ total
lx,97.50%,2022-2024,Female,74,83547,NZ total
lx,97.50%,2022-2024,Female,75,82161,NZ total
lx,97.50%,2022-2024,Female,76,80621,NZ total
lx,97.50%,2022-2024,Female,77,78912,NZ total
lx,97.50%,2022-2024,Female,78,77020,NZ total
lx,97.50%,2022-2024,Female,79,74922,NZ total
lx,97.50%,2022-2024,Female,80,72596,NZ total
lx,97.50%,2022-2024,Female,81,70045,NZ total
lx,97.50%,2022-2024,Female,82,67236,NZ total
lx,97.50%,2022-2024,Female,83,64168,NZ total
lx,97.50%,2022-2024,Female,84,60811,NZ total
lx,97.50%,2022-2024,Female,85,57189,NZ total
lx,97.50%,2022-2024,Female,86,53290,NZ total
lx,97.50%,2022-2024,Female,87,49125,NZ total
lx,97.50%,2022-2024,Female,88,44704,NZ total
lx,97.50%,2022-2024,Female,89,40094,NZ total
lx,97.50%,2022-2024,Female,90,35367,NZ total
lx,97.50%,2022-2024,Female,91,30589,NZ total
lx,97.50%,2022-2024,Female,92,25897,NZ total
lx,97.50%,2022-2024,Female,93,21405,NZ total
lx,97.50%,2022-2024,Female,94,17231,NZ total
lx,97.50%,2022-2024,Female,95,13486,NZ total
lx,97.50%,2022-2024,Female,96,10229,NZ total
lx,97.50%,2022-2024,Female,97,7518,NZ total
lx,97.50%,2022-2024,Female,98,5342,NZ total
lx,97.50%,2022-2024,Female,99,3668,NZ total
lx,97.50%,2022-2024,Female,100,2435,NZ total
lx,97.50%,2022-2024,Female,101,1559,NZ total
lx,97.50%,2022-2024,Female,102,961,NZ total
lx,97.50%,2022-2024,Female,103,572,NZ total
lx,97.50%,2022-2024,Female,104,329,NZ total
lx,97.50%,2022-2024,Female,105+,183,NZ total
